"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"1807","sbrahmj","0.00499","0.00000","0.0588","0.166","0.0000","8.6e-03","4.9e-17","0.0e+00","6.4e-03","1.1e-19"
"1808","kathelama","0.00000","0.00000","0.0033","0.166","0.0000","4.8e-04","7.0e-20","0.0e+00","3.5e-04","1.1e-19"
"1809","Cruizta","0.00704","0.00000","0.0817","0.582","0.0000","5.3e-02","6.8e-17","6.7e-03","3.7e-02","1.1e-19"
"1810","JaimeWernerJ","0.00088","0.00000","0.0131","0.582","0.0000","1.4e-02","9.1e-18","1.7e-01","9.9e-03","1.1e-19"
"1812","ArcibelAyekafe","0.00000","0.00000","0.0033","0.083","0.0000","3.5e-09","7.0e-20","0.0e+00","2.0e-09","1.1e-19"
"1813","jonathanorrego","0.00029","0.00000","0.0065","0.166","0.0000","9.6e-04","3.1e-18","0.0e+00","7.1e-04","1.1e-19"
"1814","juanjosesilva","0.00000","0.00000","0.0033","0.582","0.0000","7.3e-04","7.0e-20","0.0e+00","5.8e-04","1.1e-19"
"1815","juboba","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1816","galost","0.00029","0.00000","0.0065","0.083","0.0000","2.2e-05","3.1e-18","0.0e+00","1.4e-05","1.1e-19"
"1817","pulloag","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1821","canal_risas","0.00000","0.00000","0.0033","0.166","0.0000","4.8e-04","7.0e-20","0.0e+00","3.5e-04","1.1e-19"
"1822","f_spaudo","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","1.3e-20","1.1e-19"
"1823","Marcheee","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","7.1e-20","1.1e-19"
"1824","jjosemanuel","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1825","cristina_toro","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1826","piaeberhard","0.00029","0.00000","0.0065","0.582","0.0000","1.5e-03","3.1e-18","0.0e+00","1.2e-03","1.1e-19"
"1827","gabi_cabana","0.00176","0.00000","0.0229","0.582","0.0000","1.9e-02","1.7e-17","3.3e-01","1.4e-02","1.1e-19"
"1828","dxse","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1829","cristibeatriz","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1830","Racortesl","0.00059","0.00000","0.0098","0.083","0.0000","3.3e-05","5.5e-18","0.0e+00","2.2e-05","1.1e-19"
"1832","ContingenciaCAi","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1833","fhubner","0.00029","0.00000","0.0065","0.166","0.0000","5.0e-03","3.1e-18","1.0e+00","3.5e-03","1.1e-19"
"1834","Gonzav63","0.00000","0.00000","0.0033","0.166","0.0000","4.8e-04","7.0e-20","0.0e+00","3.5e-04","1.1e-19"
