"","account","date","value","type"
"151","@gabrielboric",2011-11-01,1.6077139,"negative"
"152","@gabrielboric",2011-12-01,1.663729,"negative"
"153","@gabrielboric",2012-01-01,1.80758,"negative"
"154","@gabrielboric",2012-02-01,1.7715379,"negative"
"155","@gabrielboric",2012-03-01,1.862203,"negative"
"156","@gabrielboric",2012-04-01,1.7518384,"negative"
"157","@gabrielboric",2012-05-01,1.696646,"negative"
"158","@gabrielboric",2012-06-01,1.7960811,"negative"
"159","@gabrielboric",2012-07-01,1.8176348,"negative"
"160","@gabrielboric",2012-08-01,2.0376618,"negative"
"161","@gabrielboric",2012-09-01,1.9112711,"negative"
"162","@gabrielboric",2012-10-01,1.724716,"negative"
"163","@gabrielboric",2012-11-01,1.6572407,"negative"
"164","@gabrielboric",2012-12-01,1.6958197,"negative"
"165","@gabrielboric",2013-01-01,1.9587469,"negative"
"166","@gabrielboric",2013-02-01,1.7675468,"negative"
"167","@gabrielboric",2013-03-01,1.8253073,"negative"
"168","@gabrielboric",2013-04-01,1.7731895,"negative"
"169","@gabrielboric",2013-05-01,1.6239507,"negative"
"170","@gabrielboric",2013-06-01,1.711055,"negative"
"171","@gabrielboric",2013-07-01,1.7213136,"negative"
"172","@gabrielboric",2013-08-01,1.6579005,"negative"
"173","@gabrielboric",2013-09-01,1.7551109,"negative"
"174","@gabrielboric",2013-10-01,1.6766385,"negative"
"175","@gabrielboric",2013-11-01,1.8694444,"negative"
"176","@GiorgioJackson",2011-01-01,1.5556573,"negative"
"177","@GiorgioJackson",2011-02-01,1.5794871,"negative"
"178","@GiorgioJackson",2011-03-01,2.077824,"negative"
"179","@GiorgioJackson",2011-04-01,1.6694814,"negative"
"180","@GiorgioJackson",2011-05-01,1.6148582,"negative"
"181","@GiorgioJackson",2011-06-01,1.6067448,"negative"
"182","@GiorgioJackson",2011-07-01,1.5818692,"negative"
"183","@GiorgioJackson",2011-08-01,1.8041654,"negative"
"184","@GiorgioJackson",2011-09-01,1.6633976,"negative"
"185","@GiorgioJackson",2011-10-01,2.0535016,"negative"
"186","@GiorgioJackson",2011-11-01,1.701047,"negative"
"187","@GiorgioJackson",2011-12-01,1.5238117,"negative"
"188","@GiorgioJackson",2012-01-01,2.2059622,"negative"
"189","@GiorgioJackson",2012-02-01,1.8944727,"negative"
"190","@GiorgioJackson",2012-03-01,1.9161992,"negative"
"191","@GiorgioJackson",2012-04-01,1.9707316,"negative"
"192","@GiorgioJackson",2012-05-01,1.5503808,"negative"
"193","@GiorgioJackson",2012-06-01,1.8699504,"negative"
"194","@GiorgioJackson",2012-07-01,1.7337948,"negative"
"195","@GiorgioJackson",2012-08-01,1.909538,"negative"
"196","@GiorgioJackson",2012-09-01,1.7518209,"negative"
"197","@GiorgioJackson",2012-10-01,1.6990043,"negative"
"198","@GiorgioJackson",2012-11-01,1.5778873,"negative"
"199","@GiorgioJackson",2012-12-01,1.7239554,"negative"
"200","@GiorgioJackson",2013-01-01,1.791894,"negative"
"201","@GiorgioJackson",2013-02-01,1.3734714,"negative"
"202","@GiorgioJackson",2013-03-01,1.6981715,"negative"
"203","@GiorgioJackson",2013-04-01,1.7072033,"negative"
"204","@GiorgioJackson",2013-05-01,1.7183645,"negative"
"205","@GiorgioJackson",2013-06-01,1.6966451,"negative"
"206","@GiorgioJackson",2013-07-01,1.740145,"negative"
"207","@GiorgioJackson",2013-08-01,1.7477679,"negative"
"208","@GiorgioJackson",2013-09-01,1.7781814,"negative"
"209","@GiorgioJackson",2013-10-01,1.5056152,"negative"
"210","@GiorgioJackson",2013-11-01,1.7457066,"negative"
