"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"431","CuperHigueras",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"432","DodigoSCL",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"433","BlaBlaDany",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"434","Pituyoko",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"435","saangel_",0.0038156736131494,0,0.0457516339869281,0.582270299965584,0,0.0596255023527431,3.64397036322133e-17,0.010989010989011,0.0437743540736182,1.06425143268007e-19
"436","fcojvalenzuela",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"437","ginniasa",0.00352216025829175,0,0.042483660130719,0.332483600126002,0,0.0181416816865225,3.30630515581858e-17,0,0.0124980225846053,1.06425143268007e-19
"438","felipegana",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"439","andresteixido",0.00117405341943058,0,0.0163398692810458,0.0830362267887068,0,0.0225846801227108,1.16775884226784e-17,0,0.0155632576914353,2.12850286536015e-19
"440","mjteston",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"441","mr_kroomer",0.00264162019371881,0,0.0326797385620915,0.0830362267887068,0,0.0451693602454216,2.63097474101308e-17,0,0.0311265153828706,2.12850286536015e-19
"442","Pablo_Donoso",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"443","jagiordano",0.00146756677428823,0,0.0196078431372549,0.0830362267887068,0,0.027101616147253,1.39286898053634e-17,0,0.0186759092297224,1.06425143268007e-19
"444","Belen_Tello",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"445","Luuluz",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"446","Jaivicornejo",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"447","RadioUC",0.00440270032286469,0,0.0522875816993464,0.582298620446532,0,0.0673313746448081,4.43185584716108e-17,0.025,0.0470919213165875,1.06425143268007e-19
"448","ConitaBarros",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"449","Angestz",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,0.0135508080736265,5.48705962029467e-18,0,0.0093379546148612,1.06425143268007e-19
"450","clauskv",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"451","elpancho",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"452","IgnacioDiaz1123",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"453","revista_paula",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828706,1.06425143268007e-19
"454","SepulvedaCartes",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"455","_faiperucita_",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,0.0135508080736265,5.48705962029467e-18,0,0.0093379546148612,1.06425143268007e-19
"456","felipe2026",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"457","lorecilla",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"458","slarandam",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"459","Gcifuentess",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,0.0135508080736265,5.48705962029467e-18,0,0.0093379546148612,1.06425143268007e-19
"460","maxnovoa",0.00176108012914588,0,0.0228758169934641,0.0830362267887068,0,0.0316185521717951,1.67425665337196e-17,0,0.0217885607680095,1.06425143268007e-19
"461","SalomeAnjari",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"462","caroli_nunez",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"463","Lore_W",0.00205459348400352,0,0.0261437908496732,0.0830362267887068,0,0.0361354881963373,2.06819939534184e-17,0,0.0249012123062965,1.06425143268007e-19
"464","ramiro_p",0.000293513354857646,0,0.0065359477124183,0.582270299965584,0,0.00813097155137253,2.95457056477405e-18,1,0.00627461121097394,1.06425143268007e-19
"465","tabbytop7",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"466","h_cisternas",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"467","seba_godoy",0.000880540064572938,0,0.0130718954248366,0.0830362267887068,0,0.0180677440981686,8.86371169432215e-18,0,0.0124506061531483,1.06425143268007e-19
"468","volaantina",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"469","FRANZGIOVANNI",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"470","roaccion",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"471","IsabelClip",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"472","ehdr2005",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"473","Kaati__M",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"474","DanielaSaez",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"475","cpazrebo",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"476","RizzolattiOpret",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"477","marcorossel",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"478","FFFortiz",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"479","lifelinetrace",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,0.00903387204908432,2.95457056477405e-18,0,0.00622530307657413,1.06425143268007e-19
"480","hermandonoso",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,0.00903387204908432,2.95457056477405e-18,0,0.00622530307657413,1.06425143268007e-19
