username;leader;tipo
sebastiangayoso;0;0
matiaswalkerp;0;0
pdc_chile;0;0
kenaes;0;0
correcthor;0;0
noalaburka;0;0
G_ran_t;0;0
sowhatz;0;0
artemiolupin;0;0
proaripar;0;0
ceciperez1;0;0
angelatina19;0;0
Magdielsupermun;0;0
rodrigovega;0;0
JaimeAlvarezG;0;0
josemdelpino;0;0
kathelama;0;0
coniperez;0;0
Fabroo;0;0
vongrimm;0;0
elbonti;0;0
esodicendemi;0;0
jaradin;0;0
IzOcKa;0;0
parubio;0;0
vcarmona87;0;0
inti_illimani;0;0
Alitazzz;0;0
RicardoAndradeO;0;0
el_okrash;0;0
felipeassadi;0;0
hugo_campos_m;0;0
Fquidel;0;0
ginniasa;0;0
jpriquelme;0;0
checho_klamardo;0;0
Antifama;0;0
DanielsCarrillo;0;0
ingridelena;0;0
gsaavedrajs;0;0
Sexy_indacity;0;0
bruffinelli;0;0
ValAttack;0;0
Bel_Campo;0;0
valeeejb;0;0
sr_gorki;0;0
incubolica;0;0
KingLuqas;0;0
acerpanavarrete;0;0
sentidoscomunes;0;0
fireyesr;0;0
roxipoxi;0;0
AgustinF;0;0
PotatoDono;0;0
gatasaba;0;0
arciana0;0;0
Amanditahs;0;0
ingeborvonweber;0;0
Corbiobio;0;0
undergard;0;0
SilvanaPaz;0;0
jfcogonzalez;0;0
daviduribeg;0;0
lmtomic;0;0
_hexagram_;0;0
martell16;0;0
gabi_cabana;0;0
JaimeSaez;0;0
Tuiter_Sister;0;0
LeverageOfSpace;0;0
luchadebilucha;0;0
RafaSandoval;0;0
luisbreull;0;0
Ariste_;0;0
PatoRuizz;0;0
Icouldsay_;0;0
carlaperezm;0;0
nacho_oliva;0;0
ragochile;0;0
FelipeGallegos7;0;0
quintanadonoso;0;0
sebastiancaiceo;0;0
Feuc;0;0
LucioDiazA;0;0
vargaszec;0;0
robertocbx;0;0
LuisEmiliodiaz;0;0
sboric;0;0
paropli;0;0
rodrigodurancan;0;0
Cari_delaBarra;0;0
keny_mc;0;0
Nvielmas;0;0
Miguelost;0;0
VictorHugo_23;0;0
javieraaaa_;0;0
arriesgo;0;0
conssttanza;0;0
GrandePapaRey;0;0
carminaludwig;0;0
pantilefo;0;0
FeliManriquez;0;0
CarolaEscobarC;0;0
teatrochile;0;0
CamilaOteiza;0;0
Rominamara;0;0
BelloPublico;0;0
perro_viejo;0;0
cpobleteb;0;0
FernandoMunozL;0;0
Danielilla_;0;0
jaimemondria;0;0
U_Cant__O_O__Me;0;0
LautaroE;0;0
Juliangonzalezu;0;0
rodrigofarcas;0;0
nuribeo;0;0
caldo_de_cabeza;0;0
uvalpochile;0;0
nicowuth;0;0
PTTSOLIDARIA;0;0
Monolo100;0;0
supernicol;0;0
webfecto;0;0
arturogonzalezr;0;0
carlonegro;0;0
mezato;0;0
clo_arq;0;0
JavieraGrau;0;0
Litroso;0;0
judas_iscariote;0;0
luistiznado;0;0
TomasFlores;0;0
josisla;0;0
hggaete;0;0
a_castanon;0;0
politicarock;0;0
dgnrescence;0;0
catabezm;0;0
GomezCamilo;0;0
l_campillay;0;0
toledo_campos;0;0
LyssHrndz;0;0
MaritaFigue;0;0
pal0mis;0;0
KoniAltamirano;0;0
Esmeraldatoledo;0;0
austrolopitekus;0;0
el_ceco;0;0
mretsan;0;0
Benedrin;0;0
Brandy_Bufordsa;0;0
julioverdugo;0;0
tecitoleiva;0;0
rhon2008;0;0
omlazo;0;0
claudiopietro;0;0
daguilarn86;0;0
rschlec;0;0
ialmonacidc;0;0
bligoo;0;0
syreniad;0;0
ucvradio;0;0
Lolemiel;0;0
yedezma;0;0
paolanuneza;0;0
