created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Thu Jun 13 11:40:26 +0000 2013","False",,"es","http://twitter.com/CORDONSECUNDARI/status/345143620048912384","web","RT @ConesChile: Hoy con mas fuerza que nunca marcharemos x una Educ Publica y de Calidad para Todos ! Nos vemos a las 11am en Pza Italia #Y…","CONSTRUYENDO PODER POPULAR EN LA EDUCACION MARCHA 20 DE JUNIO FRONTIS USACH","","Tue Jun 11 20:06:58 +0000 2013","25","CORDONSECUNDARIOS","CORDONSECUNDARI"
"Thu Jun 13 11:41:01 +0000 2013","False",,"es","http://twitter.com/DedosSangrantes/status/345143767478702080","web","RT @ConesChile: Hoy con mas fuerza que nunca marcharemos x una Educ Publica y de Calidad para Todos ! Nos vemos a las 11am en Pza Italia #Y…","Enrique Ahumada. Periodista casi Mag. en Ciencia Política. Corresponsal para Xinhua News. Cubriendo las marchas y apoyando a los estudiantes.","","Sun Sep 04 21:03:03 +0000 2011","947","DedosSangrantes","DedosSangrantes","Santiago"
"Thu Jun 13 11:42:53 +0000 2013","False",,"es","http://twitter.com/FZavalaJara/status/345144236955549696","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @espantachuncho: Hoy  marcha desde Pza Italia 11 hrs #NosVemosEl13 #yoMarchoel13 #YoApoyoAlosEstudiantes #EducaciónPublicaGratuitaYdeCal…","Ingeniero Ambiental y Concejal del Partido Comunista de Chile por Estación Central. Experiencia en Planificación y Gestión Ambiental Local y Municipal.","Estación Central, Chile","Sun Mar 07 00:42:33 +0000 2010","1784","Felipe Zavala Jara","FZavalaJara","Santiago"
"Thu Jun 13 11:47:05 +0000 2013","False",,"es","http://twitter.com/Usa_la_fuerza/status/345145293760770049","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ConesChile: Hoy con mas fuerza que nunca marcharemos x una Educ Publica y de Calidad para Todos ! Nos vemos a las 11am en Pza Italia #Y…","Soy Dibujante Arquitectónico, dueño de una microempresa destinada a otorgarles una óptima  asesoria arquitectónica, constructiva y de gestión de su proyecto.","Villa Alemana, Chile","Sun Aug 19 00:52:27 +0000 2012","80","Ruben Perez","Usa_la_fuerza","Santiago"
"Thu Jun 13 11:51:07 +0000 2013","False",,"es","http://twitter.com/NicolasAcunaS/status/345146309923184640","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RT @ConesChile: Hoy con mas fuerza que nunca marcharemos x una Educ Publica y de Calidad para Todos ! Nos vemos a las 11am en Pza Italia #Y…","Estudiante de Biologia UC, Amante del Futbol y Colo Colo, Orgulloso de Egresar del Ipe el 2010. Integrante de @creceruc, @CODECOMAPU y Vice Ext. en @CACB_UC","","Mon Apr 02 02:34:17 +0000 2012","254","Nicolas Acuña Sáez","NicolasAcunaS"
"Thu Jun 13 11:53:40 +0000 2013","False",,"es","http://twitter.com/Hinchacuricano/status/345146950519250944","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Buenos días gente! Hoy los estudiantes de Curicó se levantan y marcharán por lo que es justo #YOMARCHOEL13","[18] Amante de las comunicaciones | Hincha del gigante del Maule @curicounido  | Staff de @mcupurapasion | Viudo del deco pirata | Carpe diem.","curicó","Fri Oct 08 01:26:50 +0000 2010","292","JAVIER VALDERRAMA","Hinchacuricano","Buenos Aires"
"Thu Jun 13 12:02:12 +0000 2013","False",,"es","http://twitter.com/pavlabc/status/345149098799796225","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ConesChile: Hoy con mas fuerza que nunca marcharemos x una Educ Publica y de Calidad para Todos ! Nos vemos a las 11am en Pza Italia #Y…","Socióloga, trabajadora, compañera, mejor amiga y ahora marida de @freaky311, baterista de Rock Band, adicta a tuiter y feibuc.","Santiago, Chile","Tue Jun 23 14:57:17 +0000 2009","412","Pavla","pavlabc","Santiago"
"Thu Jun 13 12:06:35 +0000 2013","False",,"es","http://twitter.com/chunchoconcejal/status/345150202853851136","web","RT @ConesChile: Hoy con mas fuerza que nunca marcharemos x una Educ Publica y de Calidad para Todos ! Nos vemos a las 11am en Pza Italia #Y…","Disfrutando la Vida junto a mi Hijo, vivo en La Islita, Isla de Maipo....","LA ISLITA","Thu Sep 20 13:43:07 +0000 2012","32","Cristian Contreras","chunchoconcejal","Atlantic Time (Canada)"
"Thu Jun 13 12:07:39 +0000 2013","False",,"es","http://twitter.com/AeKeim/status/345150471549353984","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ConesChile: Hoy con mas fuerza que nunca marcharemos x una Educ Publica y de Calidad para Todos ! Nos vemos a las 11am en Pza Italia #Y…","Biólogo Marino en progreso.","Chile","Fri Jan 06 22:09:25 +0000 2012","66","Andrés Keim B.","AeKeim","Atlantic Time (Canada)"
"Thu Jun 13 12:08:56 +0000 2013","False",,"es","http://twitter.com/RGalvezPoblete/status/345150795467075585","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Mas rato a la 'Marcha por la Educacion'. Nos vemos todos a las 11AM frente al Campus Ignacio Domeyko (Ingenieria) #ULS #YoMarchoEl13","#SinMiedoAlUnfollow.","La Serena, Chile.","Sun Mar 25 13:34:33 +0000 2012","314","Ricardo Jose Andres","RGalvezPoblete","Atlantic Time (Canada)"
